Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-39.072,3, 0.1348096,0.045444,15084, Foreign,
12-21-2022-22-27-39.375,3, 0.1449119,0.050343,15084, Foreign,
12-21-2022-22-27-39.475,3, 0.1331099,0.045006,15084, Foreign,
12-21-2022-22-27-38.468,3, 1.1517467,0.044144,6348, Foreign,
12-21-2022-22-27-39.275,3, 0.4213125,0.04215,15084, Foreign,
12-21-2022-22-27-39.575,3, 0.128756,0.042515,15084, Foreign,
12-21-2022-22-27-38.569,3, 1.1363668,0.039833,6348, Foreign,
12-21-2022-22-27-39.676,3, 0.1368949,0.042466,15084, Foreign,
12-21-2022-22-27-39.776,3, 0.1499434,0.047245,15084, Foreign,
12-21-2022-22-27-39.876,3, 0.1827064,0.045762,15084, Foreign,
12-21-2022-22-27-39.977,3, 0.130743,0.04134,15084, Foreign,
12-21-2022-22-27-40.076,3, 0.1358605,0.039743,15084, Foreign,
12-21-2022-22-27-39.174,3, 1.1598717,0.048973,6348, Foreign,
12-21-2022-22-27-40.176,3, 0.157398,0.046409,15084, Foreign,
12-21-2022-22-27-40.278,3, 0.3974631,0.045815,15084, Foreign,
12-21-2022-22-27-40.681,3, 0.1606355,0.035258,15084, Foreign,
